VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,trip_duration,average_speed,short_trip_flag,pickup_hour,pickup_day_of_week,is_weekend,tip_percentage,trip_distance_category
1,2019-05-01 00:58:25,2019-05-01 01:23:02,1,13.1,132,160,37.0,38.3,24.616666666666667,31.929587000677046,0,0,2,0,3.513513513513506,long
1,2019-05-01 00:31:18,2019-05-01 00:31:40,1,16.0,132,132,2.5,3.8,0.36666666666666664,2618.1818181818185,0,0,2,0,51.99999999999999,long
1,2019-05-01 00:32:16,2019-05-01 01:05:32,1,19.4,132,114,52.0,55.3,33.266666666666666,34.989979959919836,0,0,2,0,6.3461538461538405,long
1,2019-05-01 00:21:23,2019-05-01 00:27:56,1,1.6,125,13,7.0,10.8,6.55,14.656488549618322,0,0,2,0,54.28571428571429,medium
1,2019-05-01 00:39:29,2019-05-01 00:53:07,1,3.2,125,170,12.5,19.55,13.633333333333333,14.08312958435208,0,0,2,0,56.400000000000006,medium
1,2019-05-01 00:49:54,2019-05-01 01:17:54,1,16.5,132,213,46.0,53.42,28.0,35.357142857142854,0,0,2,0,16.1304347826087,long
2,2019-05-01 00:15:38,2019-05-01 00:19:19,1,0.65,48,50,4.5,8.3,3.683333333333333,10.588235294117647,1,0,2,0,84.44444444444446,short
2,2019-05-01 00:21:42,2019-05-01 00:27:38,1,1.67,50,43,7.0,10.8,5.933333333333334,16.8876404494382,0,0,2,0,54.28571428571429,medium
2,2019-05-01 00:38:11,2019-05-01 00:47:28,1,2.1,48,90,9.0,15.36,9.283333333333333,13.572710951526032,0,0,2,0,70.66666666666666,medium
2,2019-04-30 23:59:42,2019-05-01 00:13:35,2,8.69,138,141,25.0,41.9,13.883333333333333,37.55582232893157,0,23,1,0,67.6,long
2,2019-05-01 00:19:03,2019-05-01 00:36:40,1,3.18,237,68,12.5,19.56,17.616666666666667,10.830652790917693,0,0,2,0,56.47999999999998,medium
2,2019-05-01 00:52:22,2019-05-01 01:17:56,5,7.33,141,256,24.0,33.36,25.566666666666666,17.202086049543677,0,0,2,0,38.99999999999999,long
2,2019-05-01 00:06:27,2019-05-01 00:25:34,1,4.56,114,43,17.0,24.96,19.116666666666667,14.312118570183085,0,0,2,0,46.82352941176471,medium
2,2019-05-01 00:36:19,2019-05-01 00:52:55,1,4.51,48,13,16.5,20.3,16.6,16.301204819277107,0,0,2,0,23.030303030303035,medium
2,2019-05-01 00:55:28,2019-05-01 01:13:28,1,4.29,261,189,16.5,24.36,18.0,14.3,0,0,2,0,47.63636363636363,medium
2,2019-05-01 00:09:36,2019-05-01 00:17:00,1,2.16,231,68,8.5,14.76,7.4,17.513513513513516,0,0,2,0,73.6470588235294,medium
2,2019-05-01 00:43:23,2019-05-01 01:00:56,1,8.71,231,263,25.5,35.16,17.55,29.77777777777778,0,0,2,0,37.88235294117646,long
2,2019-05-01 00:24:08,2019-05-01 00:31:15,1,1.2,230,100,6.5,12.36,7.116666666666666,10.117096018735364,0,0,2,0,90.15384615384615,medium
2,2019-05-01 00:41:04,2019-05-01 00:48:11,1,1.38,161,237,7.0,10.8,7.116666666666666,11.634660421545668,0,0,2,0,54.28571428571429,medium
1,2019-05-01 00:25:14,2019-05-01 00:33:07,1,1.6,170,114,8.0,14.15,7.883333333333334,12.177589852008458,0,0,2,0,76.875,medium
1,2019-05-01 00:53:17,2019-05-01 00:56:37,1,0.5,181,181,4.5,6.95,3.3333333333333335,9.0,1,0,2,0,54.44444444444445,short
1,2019-05-01 00:45:54,2019-05-01 00:56:31,1,7.2,148,196,21.0,24.8,10.616666666666667,40.69073783359497,0,0,2,0,18.0952380952381,long
2,2019-04-30 23:58:20,2019-05-01 00:19:44,1,11.85,97,97,32.5,33.8,21.4,33.22429906542056,0,23,1,0,3.999999999999991,long
2,2019-05-01 00:02:41,2019-05-01 00:32:02,1,5.06,162,82,22.0,30.96,29.35,10.344122657580918,0,0,2,0,40.72727272727273,long
1,2019-05-01 00:20:14,2019-05-01 00:41:07,1,15.7,132,255,42.0,51.95,20.883333333333333,45.10774142059058,0,0,2,0,23.690476190476197,long
1,2019-05-01 00:40:55,2019-05-01 00:44:06,0,0.8,90,249,4.5,9.95,3.183333333333333,15.078534031413614,1,0,2,0,121.1111111111111,short
2,2019-05-01 00:06:29,2019-05-01 00:16:57,5,1.41,237,50,8.5,13.5,10.466666666666667,8.082802547770699,0,0,2,0,58.82352941176471,medium
2,2019-05-01 00:21:12,2019-05-01 00:25:24,1,0.71,249,90,5.0,8.8,4.2,10.14285714285714,1,0,2,0,76.00000000000001,short
2,2019-05-01 00:08:10,2019-05-01 00:11:48,1,0.95,140,263,5.0,8.8,3.6333333333333333,15.688073394495412,1,0,2,0,76.00000000000001,short
2,2019-05-01 00:16:48,2019-05-01 00:21:35,1,1.49,236,43,6.5,12.36,4.783333333333333,18.689895470383274,0,0,2,0,90.15384615384615,medium
2,2019-05-01 00:30:50,2019-05-01 00:36:24,2,0.89,43,142,5.5,9.3,5.566666666666666,9.592814371257486,1,0,2,0,69.09090909090911,short
2,2019-05-01 00:18:23,2019-05-01 00:22:34,1,1.12,211,158,5.5,11.16,4.183333333333334,16.06374501992032,0,0,2,0,102.9090909090909,medium
2,2019-05-01 00:43:10,2019-05-01 00:52:02,2,2.69,79,229,9.5,14.3,8.866666666666667,18.20300751879699,0,0,2,0,50.5263157894737,medium
2,2019-05-01 00:05:48,2019-05-01 00:12:40,1,0.85,161,230,6.0,11.76,6.866666666666666,7.427184466019418,1,0,2,0,96.0,short
1,2019-05-01 00:10:29,2019-05-01 00:17:38,1,1.2,170,50,7.0,10.8,7.15,10.06993006993007,0,0,2,0,54.28571428571429,medium
1,2019-05-01 00:36:36,2019-05-01 00:43:11,1,1.2,231,261,6.5,10.3,6.583333333333333,10.936708860759493,0,0,2,0,58.461538461538474,medium
1,2019-05-01 00:42:36,2019-05-01 00:46:49,1,1.3,90,48,6.0,11.0,4.216666666666667,18.49802371541502,0,0,2,0,83.33333333333334,medium
1,2019-05-01 00:31:01,2019-05-01 00:47:41,1,8.7,132,95,26.0,32.75,16.666666666666668,31.319999999999997,0,0,2,0,25.961538461538463,long
2,2019-05-01 00:40:09,2019-05-01 01:21:35,5,22.72,132,25,63.5,69.8,41.43333333333333,32.90104585679807,0,0,2,0,9.921259842519682,long
2,2019-05-01 00:25:46,2019-05-01 00:31:56,6,2.02,68,142,8.0,15.34,6.166666666666667,19.654054054054054,0,0,2,0,91.75,medium
2,2019-05-01 00:56:24,2019-05-01 01:05:51,6,2.53,161,107,9.5,15.96,9.45,16.063492063492063,0,0,2,0,68.0,medium
2,2019-05-01 00:53:24,2019-05-01 00:55:31,2,0.39,186,100,3.5,8.76,2.1166666666666667,11.055118110236222,1,0,2,0,150.28571428571428,short
1,2019-05-01 00:30:14,2019-05-01 00:37:14,1,1.4,237,262,7.5,11.3,7.0,11.999999999999998,0,0,2,0,50.66666666666667,medium
1,2019-05-01 00:42:14,2019-05-01 00:50:27,1,1.9,236,238,8.5,13.3,8.216666666666667,13.874239350912777,0,0,2,0,56.47058823529413,medium
2,2019-05-01 00:05:34,2019-05-01 00:18:58,1,3.53,161,41,13.5,17.3,13.4,15.805970149253731,0,0,2,0,28.148148148148156,medium
2,2019-05-01 00:40:20,2019-05-01 00:42:59,1,0.81,236,236,4.5,9.96,2.65,18.339622641509436,1,0,2,0,121.33333333333336,short
2,2019-05-01 00:01:01,2019-05-01 00:28:59,1,10.26,224,258,31.0,47.92,27.966666666666665,22.0119189511323,0,0,2,0,54.580645161290334,long
1,2019-05-01 00:42:25,2019-05-01 00:46:12,1,0.9,161,164,5.0,11.4,3.783333333333333,14.273127753303964,1,0,2,0,128.0,short
1,2019-05-01 00:06:01,2019-05-01 00:14:41,1,2.7,163,24,10.0,13.8,8.666666666666666,18.692307692307697,0,0,2,0,38.00000000000001,medium
2,2019-04-30 23:46:07,2019-04-30 23:53:32,1,1.3,79,249,7.0,10.8,7.416666666666667,10.51685393258427,0,23,1,0,54.28571428571429,medium
2,2019-05-01 00:05:16,2019-05-01 00:16:33,1,2.21,211,186,9.5,13.3,11.283333333333333,11.751846381093058,0,0,2,0,40.00000000000001,medium
1,2019-05-01 00:35:50,2019-05-01 00:46:03,2,2.8,137,141,10.5,14.3,10.216666666666667,16.443719412724306,0,0,2,0,36.1904761904762,medium
